Measurement,Knee Angle,Hip Angle
1,115.107,121.21
2,177.342,179.427
3,176.007,179.946
4,174.364,178.695
5,176.277,179.574
6,176.41,179.191
7,177.399,172.558
8,111.232,105.605
9,42.135,35.891
10,48.996,39.96
11,22.264,13.157
12,177.782,170.515
13,178.247,170.928
14,178.881,172.701
15,179.318,173.144
16,176.603,172.524
17,176.994,171.406
18,177.731,172.918
19,178.595,174.275
20,163.989,160.784
21,171.709,170.633
22,170.231,170.571
23,165.847,167.528
24,42.884,45.257
25,168.177,170.451
26,176.277,177.833
27,145.137,151.16
28,172.422,170.552
29,157.262,158.746
30,160.032,158.503
31,167.332,164.254
32,163.166,161.207
33,136.317,135.842
34,93.779,97.881
35,101.659,104.812
36,111.836,114.408
37,100.849,112.279
38,122.742,116.858
39,94.976,114.331
40,85.231,93.436
41,89.056,84.164
42,92.455,83.663
43,116.549,104.391
44,104.987,125.37
45,134.125,92.707
46,101.715,91.579
47,99.207,90.916
48,111.308,98.03
49,135.226,115.102
50,143.025,120.128
51,152.096,132.139
52,153.931,136.715
53,144.401,135.039
54,142.488,135.826
55,123.387,126.246
56,103.022,113.546
57,93.532,102.778
58,100.29,97.152
59,109.829,102.147
60,121.29,110.357
61,136.816,119.52
62,149.238,124.198
63,155.437,133.588
64,148.082,134.884
65,140.485,133.378
66,132.993,130.28
67,122.705,125.762
68,105.336,113.171
69,102.12,103.608
70,105.371,102.985
71,119.117,105.669
72,131.33,115.84
73,148.541,127.577
74,160.582,135.64
75,151.522,137.45
76,141.588,134.372
77,137.628,132.091
78,119.775,125.756
79,96.115,112.313
80,92.579,99.125
81,100.228,95.149
82,108.992,103.016
83,123.105,110.322
84,144.185,125.148
85,155.88,133.278
86,155.63,136.491
87,147.542,135.689
88,137.804,133.805
89,119.749,125.969
90,105.04,115.032
91,101.758,108.508
92,106.266,100.66
93,109.769,99.592
94,119.185,108.044
95,131.441,115.397
96,157.005,132.762
97,158.451,137.065
98,151.104,136.117
99,142.926,133.721
100,132.497,130.165
101,116.823,121.91
102,103.108,113.757
103,98.231,101.085
104,105.311,100.212
105,114.334,108.405
106,128.76,113.898
107,146.418,125.652
108,157.196,134.766
109,154.536,136.219
110,145.032,134.133
111,140.202,132.924
112,120.599,124.294
113,111.055,112.686
114,99.102,102.659
115,106.011,100.977
116,112.58,105.052
117,124.844,110.583
118,145.056,125.007
119,157.649,135.917
120,155.057,137.535
121,147.402,135.971
122,136.5,132.508
123,120.155,126.437
124,109.181,115.243
125,99.419,104.784
126,101.725,97.128
127,111.308,103.005
128,122.662,108.368
129,144.604,125.179
130,158.104,134.082
131,157.332,136.677
132,149.246,135.915
133,139.114,133.077
134,125.997,127.698
135,110.445,117.637
136,96.709,105.921
137,102.057,97.178
138,107.526,98.579
139,122.099,109.536
140,135.74,119.333
141,149.719,127.883
142,155.464,136.268
143,151.458,136.607
144,142.267,133.327
145,132.297,129.843
146,115.134,121.503
147,109.307,112.727
148,100.951,105.031
149,106.611,101.511
150,118.06,110.267
151,132.71,117.994
152,148.341,128.299
153,158.423,136.398
154,154.514,136.77
155,144.713,134.857
156,139.609,133.845
157,113.906,123.068
158,103.84,114.084
159,91.367,101.06
160,53.131,83.446
161,165.391,168.761
162,179.967,175.593
163,178.903,175.991
164,179.268,177.186
165,179.742,176.776
166,179.903,175.167
167,179.628,173.782
168,179.759,174.065
169,179.499,174.95
170,179.169,174.401
171,179.906,175.835
172,178.935,176.938
173,179.853,173.623
174,178.464,175.745
175,178.495,175.591
176,179.638,176.124
177,179.232,176.635
178,179.71,175.566
